Using mfcc and chatfield2014.
Using normalisation method: True
Getting Ngadas: Marsam.wav 0.7
Getting Ngadas: Mas_Tom_Ngadas_201102.wav 0.0
Getting Banten: JWBP-20121229-A.wav 0.1
Getting Banten: JWBA-20100703-a.wav 0.1
Getting Banten: JWB-Banten_9.wav 0.1
Getting Banten: banten-2010-07-02-a.wav 0.1
Getting Banten: JWB-20090125.wav 0.1
Getting Banten: JWBP-20121229-B.wav 0.0
Getting Banten: JWB-Banten_10.wav 0.0
Getting Banten: JWB-20090126.wav 0.1
Getting Banten: JWB-20090116.wav 0.0
Getting Banten: JWB-Banten20100605-B.wav 0.0
Getting Banten: JWB-Banten_1.wav 0.0
Getting Banten: JWB-Banten_6.wav 0.0
Getting Banten: JWBA-20100703-b.wav 0.0
Getting Banten: JWB-Banten_4.wav 0.0
Getting Banten: JWB-20090117.wav 0.0
Getting Banten: JWB-20090118.wav 0.0
Getting Banten: JWB-Banten_8.wav 0.0
Getting Banten: JWB-20090131.wav 0.2
Getting Banten: JWB-20090130.wav 0.1
Getting Banten: JWB-Banten_11.wav 0.0
Getting Banten: JWB-Banten_5.wav 0.0
Getting Banten: JWB-20090123.wav 0.0
Getting Banten: JWB-20090124.wav 0.0
Getting Banten: JWB-20090127.wav 0.1
Getting Banten: JWB-Banten_19.wav 0.0
Getting Banten: JWB-Banten20100605-A.wav 0.1
Getting Banten: JWB-Banten_7.wav 0.0
Getting Banten: JWB-Banten_3.wav 0.0
Getting Banten: JWB-Banten_2.wav 0.1
Getting Banten: JWB-20090120.wav 0.0
Getting Banten: JWB-20090122.wav 0.0
Getting Banten: JWB-20070129.wav 0.0
Getting Banten: JWBS-20100702-b.wav 0.0
Getting Tengger: Ngadisari.wav 0.0
Getting Tengger: Wonokitri.wav 0.0
Getting Semarang: JCM-20080114.wav 0.1
Getting Semarang: JCM-20080115.wav 0.2
Getting Madiun: Madiun.wav 0.0
Getting Madiun: Madiun-20080125-Marpuah.wav 0.0
Getting Madiun: JED-20070125.wav 0.0
Getting Madiun: MADIUN-20080126-DWI.wav 0.0
Getting Tegal: JCPT-20050327-B.wav 0.0
Getting Tegal: JCPT-20050327-A.wav 0.0
Getting Banyumas: JCBP-20060807-B-Arie.wav 0.0
Getting Banyumas: JCBB-20060401.wav 0.0
Getting Banyumas: JCBB-20060331-A.wav 0.0
Getting Banyumas: JCBC-20060401-A.wav 0.1
Getting Banyumas: JCBB-20060331-C.wav 0.0
Getting Banyumas: JCBC-20060401-B.wav 0.0
Getting Banyumas: JCBB-20060331-B.wav 0.0
Getting Banyumas: JCBP-20071017a.wav 0.1
Getting Banyumas: JTBK-20100409.wav 0.0
Getting Banyumas: JCBB-20060810-B.wav 0.0
Getting Banyumas: JCBB-20060809-A.wav 0.0
Getting Banyumas: JCBP-20070118.wav 0.1
Getting Banyumas: JCBK-20071017.wav 0.1
Getting Banyumas: JCBB-20060810-A.wav 0.0
Getting Banyumas: JCBP-20060807-A-Arie.wav 0.0
Getting Banyumas: JCBB-20060809-B.wav 0.0
Getting Banyumas: JTBK-20100409a.wav 0.0
Getting Banyumas: JCBP-20071017b.wav 0.1
Getting Papua: JOP-20070810.wav 0.1
Getting Papua: JOP-20070301.wav 0.0
Getting Lumajang: JEL-20030624.wav 0.1
Getting Solo: Endang13B.wav 0.0
Getting Solo: Endang4A.wav 0.0
Getting Solo: Endang1B.wav 0.0
Getting Solo: Endang2A.wav 0.0
Getting Solo: Endang8A.wav 0.0
Getting Solo: Endang2B.wav 0.0
Getting Solo: Endang8B.wav 0.0
Getting Solo: Endang14A.wav 0.0
Getting Solo: Endang5b.wav 0.0
Getting Solo: Endang7A.wav 0.0
Getting Solo: Endang11B.wav 0.0
Getting Solo: Endang6A.wav 0.0
Getting Solo: Endang13A.wav 0.0
Getting Solo: Endang14B.wav 0.0
Getting Solo: Endang12B.wav 0.0
Getting Solo: Endang3A.wav 0.0
Getting Solo: Endang3B.wav 0.0
Getting Solo: Endang5A.wav 0.0
Getting Solo: Dibyo4B.wav 0.0
Getting Solo: Dibyo2A.wav 0.0
Getting Solo: Endang1A.wav 0.0
Getting Solo: Endang11A.wav 0.0
Getting Pemalang: PEM-120402.wav 0.0
Getting Pemalang: PEM-030204.wav 0.0
Getting Pemalang: PEM-130402.wav 0.1
Getting Pemalang: PEM-March02.wav 0.0
Getting Pemalang: PEM-260305-Yudi_A.wav 0.0
Getting Pemalang: PEM-040204.wav 0.1
Getting Pemalang: PEM-260305-Gudang_A.wav 0.1
Getting Pemalang: PEM-260305-Yudi_B.wav 0.1
Getting Pemalang: PEM-260305-Gudang_B.wav 0.0
Getting Cirebon: JWC-20090315.wav 0.0
Getting Cirebon: JWC-20090306.wav 0.1
Getting Cirebon: JWC-20090225.wav 0.0
Getting Cirebon: JWC-20090311.wav 0.0
Getting Cirebon: sejarah_Bungko_I_and_II.wav 0.0
Getting Cirebon: JWC-20090316.wav 0.0
Getting Cirebon: Bodoran_Topeng.wav 0.1
Getting Cirebon: JWC-20080927.wav 0.1
Getting Cirebon: JWC-20090322.wav 0.0
Getting Cirebon: JWC-20090307.wav 0.1
Getting Cirebon: JWC-20090303.wav 0.0
Getting Cirebon: mang_sangid.wav 0.0
Getting Cirebon: JWC-20080918.wav 0.1
Getting Cirebon: sejarah_Bungko_III.wav 0.0
Getting Kediri: JEK-20070311.wav 0.0
Getting Malang: JEM-20030613-F.wav 0.0
Getting Malang: JEM-20030613-A-edit2.wav 0.0
Getting Malang: JEM-WAL-20051230.wav 0.0
Getting Malang: JEM-20030613-B.wav 0.0
Getting Malang: JEM-20030613-G.wav 0.0
Getting Malang: JEM-20100409.wav 0.0
Getting Malang: JEM-WAL-20070205.wav 0.0
Getting Malang: JEM-20030613-A.wav 0.0
Getting Malang: JEM-20030613-C.wav 0.0
Getting Malang: JEM-20030613-A-edit.wav 0.0
Getting Malang: JEM-20030613-D.wav 0.0
Getting Malang: JEM-20030613-E.wav 0.0
Getting Osing: JEO-20070129.wav 0.0
Getting Osing: JEO-20070321.wav 0.0
Getting Ranu Pane: JETR-2002-B.wav 0.0
Getting Ranu Pane: JETR-2002-C.wav 0.1
Getting Ranu Pane: JETR-2002-A.wav 0.0
Getting Ranu Pane: JETR-2002-DE.wav 0.2
Done!
Loaded dataset size in RAM: 1.00GB
[TF] Using [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
