➜ ./get_waveform.py
Processing Ngadas - Marsam.wav; Saving plot... Done! (2.475187301635742)
Processing Ngadas - Mas_Tom_Ngadas_201102.wav; Saving plot... Done! (0.7059133052825928)
Processing Banten - JWBP-20121229-A.wav; Saving plot... Done! (6.373892784118652)
Processing Banten - JWBA-20100703-a.wav; Saving plot... Done! (3.93099045753479)
Processing Banten - JWB-Banten_9.wav; Saving plot... Done! (2.225443124771118)
Processing Banten - banten-2010-07-02-a.wav; Saving plot... Done! (3.8279998302459717)
Processing Banten - JWB-20090125.wav; Saving plot... Done! (1.7187809944152832)
Processing Banten - JWBP-20121229-B.wav; Saving plot... Done! (1.6634950637817383)
Processing Banten - JWB-Banten_10.wav; Saving plot... Done! (1.0858323574066162)
Processing Banten - JWB-20090126.wav; Saving plot... Done! (1.9180476665496826)
Processing Banten - JWB-20090116.wav; Saving plot... Done! (1.829695463180542)
Processing Banten - JWB-Banten20100605-B.wav; Saving plot... Done! (0.8786759376525879)
Processing Banten - JWB-Banten_1.wav; Saving plot... Done! (1.143195390701294)
Processing Banten - JWB-Banten_6.wav; Saving plot... Done! (1.1724607944488525)
Processing Banten - JWBA-20100703-b.wav; Saving plot... Done! (1.8844144344329834)
Processing Banten - JWB-Banten_4.wav; Saving plot... Done! (0.7838075160980225)
Processing Banten - JWB-20090117.wav; Saving plot... Done! (1.3100433349609375)
Processing Banten - JWB-20090118.wav; Saving plot... Done! (1.2367384433746338)
Processing Banten - JWB-Banten_8.wav; Saving plot... Done! (1.1749746799468994)
Processing Banten - JWB-20090131.wav; Saving plot... Done! (2.720860004425049)
Processing Banten - JWB-20090130.wav; Saving plot... Done! (1.7561893463134766)
Processing Banten - JWB-Banten_11.wav; Saving plot... Done! (0.8531851768493652)
Processing Banten - JWB-Banten_5.wav; Saving plot... Done! (1.1949565410614014)
Processing Banten - JWB-20090123.wav; Saving plot... Done! (1.0693695545196533)
Processing Banten - JWB-20090124.wav; Saving plot... Done! (1.268089771270752)
Processing Banten - JWB-20090127.wav; Saving plot... Done! (2.2982969284057617)
Processing Banten - JWB-Banten_19.wav; Saving plot... Done! (1.2248387336730957)
Processing Banten - JWB-Banten20100605-A.wav; Saving plot... Done! (4.07992959022522)
Processing Banten - JWB-Banten_7.wav; Saving plot... Done! (0.7427711486816406)
Processing Banten - JWB-Banten_3.wav; Saving plot... Done! (0.6366322040557861)
Processing Banten - JWB-Banten_2.wav; Saving plot... Done! (1.7737581729888916)
Processing Banten - JWB-20090120.wav; Saving plot... Done! (0.8031902313232422)
Processing Banten - JWB-20090122.wav; Saving plot... Done! (1.50831937789917)
Processing Banten - JWB-20070129.wav; Saving plot... Done! (0.8026485443115234)
Processing Banten - JWBS-20100702-b.wav; Saving plot... Done! (1.0287284851074219)
Processing Tengger - Ngadisari.wav; Saving plot... Done! (0.7553102970123291)
Processing Tengger - Wonokitri.wav; Saving plot... Done! (0.7954971790313721)
Processing Semarang - JCM-20080114.wav; Saving plot... Done! (4.109504461288452)
Processing Semarang - JCM-20080115.wav; Saving plot... Done! (3.5413970947265625)
Processing Madiun - Madiun.wav; Saving plot... Done! (1.0075652599334717)
Processing Madiun - Madiun-20080125-Marpuah.wav; Saving plot... Done! (1.6539313793182373)
Processing Madiun - JED-20070125.wav; Saving plot... Done! (1.4278616905212402)
Processing Madiun - MADIUN-20080126-DWI.wav; Saving plot... Done! (0.9607141017913818)
Processing Tegal - JCPT-20050327-B.wav; Saving plot... Done! (1.4101636409759521)
Processing Tegal - JCPT-20050327-A.wav; Saving plot... Done! (1.6699082851409912)
Processing Banyumas - JCBP-20060807-B-Arie.wav; Saving plot... Done! (0.6706886291503906)
Processing Banyumas - JCBB-20060401.wav; Saving plot... Done! (1.887233018875122)
Processing Banyumas - JCBB-20060331-A.wav; Saving plot... Done! (1.7346656322479248)
Processing Banyumas - JCBC-20060401-A.wav; Saving plot... Done! (2.2426886558532715)
Processing Banyumas - JCBB-20060331-C.wav; Saving plot... Done! (1.9483728408813477)
Processing Banyumas - JCBC-20060401-B.wav; Saving plot... Done! (2.372372627258301)
Processing Banyumas - JCBB-20060331-B.wav; Saving plot... Done! (1.8759818077087402)
Processing Banyumas - JCBP-20071017a.wav; Saving plot... Done! (2.682785987854004)
Processing Banyumas - JTBK-20100409.wav; Saving plot... Done! (2.275794506072998)
Processing Banyumas - JCBB-20060810-B.wav; Saving plot... Done! (1.8334503173828125)
Processing Banyumas - JCBB-20060809-A.wav; Saving plot... Done! (3.0594284534454346)
Processing Banyumas - JCBP-20070118.wav; Saving plot... Done! (2.6097919940948486)
Processing Banyumas - JCBK-20071017.wav; Saving plot... Done! (2.437941074371338)
Processing Banyumas - JCBB-20060810-A.wav; Saving plot... Done! (1.3223090171813965)
Processing Banyumas - JCBP-20060807-A-Arie.wav; Saving plot... Done! (1.1735739707946777)
Processing Banyumas - JCBB-20060809-B.wav; Saving plot... Done! (1.600121259689331)
Processing Banyumas - JTBK-20100409a.wav; Saving plot... Done! (0.9120309352874756)
Processing Banyumas - JCBP-20071017b.wav; Saving plot... Done! (2.0984416007995605)
Processing Papua - JOP-20070810.wav; Saving plot... Done! (2.989917516708374)
Processing Papua - JOP-20070301.wav; Saving plot... Done! (0.7670779228210449)
Processing Lumajang - JEL-20030624.wav; Saving plot... Done! (2.4831459522247314)
Processing Solo - Endang13B.wav; Saving plot... Done! (1.8562726974487305)
Processing Solo - Endang4A.wav; Saving plot... Done! (1.5191314220428467)
Processing Solo - Endang1B.wav; Saving plot... Done! (1.5203664302825928)
Processing Solo - Endang2A.wav; Saving plot... Done! (1.7001659870147705)
Processing Solo - Endang8A.wav; Saving plot... Done! (1.560802936553955)
Processing Solo - Endang2B.wav; Saving plot... Done! (1.7062928676605225)
Processing Solo - Endang8B.wav; Saving plot... Done! (1.4792389869689941)
Processing Solo - Endang14A.wav; Saving plot... Done! (1.8847601413726807)
Processing Solo - Endang5b.wav; Saving plot... Done! (1.5101666450500488)
Processing Solo - Endang7A.wav; Saving plot... Done! (1.699784517288208)
Processing Solo - Endang11B.wav; Saving plot... Done! (1.7007663249969482)
Processing Solo - Endang6A.wav; Saving plot... Done! (1.5016765594482422)
Processing Solo - Endang13A.wav; Saving plot... Done! (1.76151704788208)
Processing Solo - Endang14B.wav; Saving plot... Done! (1.7008988857269287)
Processing Solo - Endang12B.wav; Saving plot... Done! (1.6891260147094727)
Processing Solo - Endang3A.wav; Saving plot... Done! (1.734119176864624)
Processing Solo - Endang3B.wav; Saving plot... Done! (1.9221434593200684)
Processing Solo - Endang5A.wav; Saving plot... Done! (1.6087415218353271)
Processing Solo - Dibyo4B.wav; Saving plot... Done! (1.6581637859344482)
Processing Solo - Dibyo2A.wav; Saving plot... Done! (2.103900194168091)
Processing Solo - Endang1A.wav; Saving plot... Done! (1.6636512279510498)
Processing Solo - Endang11A.wav; Saving plot... Done! (1.6339638233184814)
Processing Pemalang - PEM-120402.wav; Saving plot... Done! (1.7279448509216309)
Processing Pemalang - PEM-030204.wav; Saving plot... Done! (1.4959204196929932)
Processing Pemalang - PEM-130402.wav; Saving plot... Done! (2.272792100906372)
Processing Pemalang - PEM-March02.wav; Saving plot... Done! (1.387716293334961)
Processing Pemalang - PEM-260305-Yudi_A.wav; Saving plot... Done! (0.7960205078125)
